escenario	profundidad	n_secuencias	n_clones	singletons	proporcion_singletons	clon_mayor
A	100	100	100	100	1.0	1
A	200	200	197	194	0.9847715736040609	2
A	400	400	394	388	0.9847715736040609	2
A	800	800	770	747	0.9701298701298702	5
A	1600	1600	1522	1472	0.9671484888304862	6
A	3200	3200	2983	2840	0.9520616828695944	15
A	6400	6400	5496	5101	0.9281295487627366	53
A	12800	12799	9874	8926	0.9039902774964553	94
A	25600	25600	17268	15476	0.8962242297892055	315
A	51200	51197	28960	25862	0.8930248618784531	1043
A	102400	49345	28631	25497	0.8905382277950473	1455
B	100	99	97	95	0.979381443298969	2
B	200	200	200	200	1.0	1
B	400	400	399	398	0.9974937343358395	2
B	800	800	789	778	0.9860583016476553	2
B	1600	1600	1558	1519	0.9749679075738126	3
B	3200	3200	3065	2953	0.9634584013050571	4
B	6400	6399	5936	5607	0.9445754716981132	13
B	12800	12798	11060	10043	0.9080470162748644	27
B	25600	25596	19766	17453	0.8829808762521502	60
B	51200	51196	33312	28539	0.8567182997118156	220
B	102400	102392	53725	45298	0.8431456491391345	774
C	100	100	100	100	1.0	1
C	200	200	198	196	0.98989898989899	2
C	400	400	395	390	0.9873417721518988	2
C	800	800	784	768	0.9795918367346939	2
C	1600	1600	1554	1520	0.9781209781209781	6
C	3200	3200	2995	2865	0.9565943238731218	11
C	6400	6398	5613	5223	0.9305184393372528	19
C	12800	12798	10204	9287	0.9101332810662486	46
C	25600	25596	17494	15680	0.8963073053618383	199
C	51200	51195	28711	25645	0.8932116610358399	774
C	102400	102386	45011	40453	0.8987358645664393	1818
D	100	100	100	100	1.0	1
D	200	200	198	196	0.98989898989899	2
D	400	400	383	371	0.9686684073107049	5
D	800	800	779	760	0.975609756097561	3
D	1600	1600	1525	1470	0.9639344262295082	5
D	3200	3200	2905	2746	0.9452667814113598	15
D	6400	6398	5453	5010	0.9187603154227031	52
D	12800	12800	9760	8756	0.8971311475409836	170
D	25600	25599	16710	14779	0.8844404548174746	458
D	51200	51196	27111	23785	0.877319169340858	1280
D	102400	102391	41962	36957	0.8807254182355464	3515
E	100	100	100	100	1.0	1
E	200	199	199	199	1.0	1
E	400	400	395	390	0.9873417721518988	2
E	800	800	778	758	0.974293059125964	3
E	1600	1600	1506	1432	0.950863213811421	5
E	3200	3200	2832	2647	0.9346751412429378	19
E	6400	6399	5233	4815	0.9201223007834894	60
E	12800	12798	9140	8289	0.9068927789934355	196
E	25600	25596	14805	13447	0.908274231678487	567
E	51200	51190	22991	21058	0.9159236222869819	1371
E	102400	102386	33674	31422	0.9331234780542852	4141
