sample_id	condition	size	richness	d1	shannon	d2	simpson	d3	d4	chao1	ace	gini	pielou	basharin	d50
A100seq	A	100	59	39.61822821435625	3.6792893207943425	23.696682464454977	0.0422	16.386838133611555	13.175888310755647	1284.0	337.06826434277417	0.36813559322033895	0.9023188568083428	3.9692389249782214	9
A200seq	A	200	113	65.15145367346041	4.1767146160381285	30.8641975308642	0.0324	19.80489261086036	15.745221242768523	764.4285714285714	858.5265556384124	0.4046017699115044	0.8834983131961578	4.456639163656417	15
A400seq	A	400	217	100.23475184823971	4.607514953353666	35.118525021949075	0.028475000000000004	21.434091281134243	16.979086032264814	2050.6	2227.6592918931083	0.4376036866359446	0.8564105497385628	4.8774008500826245	21
A800seq	A	800	421	155.55462031991567	5.046996926019943	39.2349190779794	0.025487500000000003	22.851197655624915	17.97181877800654	5247.0	5280.028679521604	0.4599940617577198	0.8352051145209445	5.309337847863713	31
A1600seq	A	1600	825	240.0978795572307	5.481046671689795	42.93573057829062	0.023290625000000002	24.49854855782387	19.36905612612412	11017.5	12165.621832118497	0.4748378787878788	0.8161608929427513	5.738333301043831	47
A3200seq	A	3200	1524	335.1571276215375	5.814599459537511	43.11470026020395	0.0231939453125	23.786167919157542	18.471158962871165	16283.765625	17139.651399951137	0.5138500656167979	0.7933211284018975	6.052293663002426	56
A6400seq	A	6400	2835	447.87900896585546	6.104523126667067	42.1979181261487	0.0236978515625	23.23884036579022	18.093553255202213	26890.007407407407	29741.54791775817	0.5479993386243386	0.7678403308027041	6.325581174272133	57
A12800seq	A	12800	5287	617.9278729233512	6.426371740166479	44.46574612295279	0.02248922119140625	24.29398927987457	18.843557003892734	45330.663043478264	49619.480944877454	0.5775726132494797	0.7495565645259232	6.63243749208309	64
A25600seq	A	25600	9743	798.1564193994839	6.682304592526586	44.94028830741966	0.022251748657226563	24.535681220651814	19.01121462453842	81795.99032882012	90426.98499383227	0.6102238706635532	0.7275245216512659	6.872080071835509	62
A51200seq	A	51200	17888	1005.7554447341466	6.913494224421156	45.48770389681421	0.021983963012695312	24.982585838611875	19.420746610096252	141827.73731343285	166545.3286813109	0.6416529936270124	0.7059838550815468	7.087590720608208	62
A102400seq	A	102400	32877	1251.5915147374112	7.132171232239476	45.61173090623841	0.021924184417724608	25.064341640619244	19.49492628480081	250132.0291970803	288677.72769961	0.6701345622747287	0.685686539197506	7.2920298081415975	63
B100seq	B	100	98	97.26558446392124	4.577445221216677	96.15384615384615	0.010400000000000001	94.4911182523068	92.10078746600963	1618.0	2449.9999999999977	0.019591836734693894	0.9983591639548421	5.062444298765693	48
B200seq	B	200	192	188.22455617673842	5.237635697793379	181.8181818181818	0.0055000000000000005	171.49858514250883	157.1837294294019	3633.0	3748.1078863706343	0.03895833333333328	0.9962221057829433	5.715133110665596	92
B400seq	B	400	376	363.8725963000938	5.896803796204309	341.88034188034186	0.002925	304.9971406652093	257.4638358948345	5319.153846153846	5639.92670552049	0.05789893617021272	0.9944701447456048	6.365549373708915	176
B800seq	B	800	723	683.0725973068537	6.526601145733129	613.0268199233716	0.00163125	512.1475197315839	412.8690434696569	7004.333333333333	7685.155207106414	0.09142461964038731	0.9913698492943761	6.97784340841474	323
B1600seq	B	1600	1360	1210.5932618166562	7.098865817455525	945.3471196454949	0.0010578125	654.0836034873145	471.30480320525527	12729.79411764706	14484.189284863529	0.1420863970588235	0.9838687170974345	7.523536401423302	560
B3200seq	B	3200	2577	2118.3379195609486	7.658387059970071	1314.5057766367138	0.0007607421874999999	728.331571605434	491.6822294029926	20941.5	26269.799974107438	0.18507494179278236	0.9750425647466507	8.060856000132386	977
B6400seq	B	6400	4848	3605.0209274359804	8.190082854816202	1653.7467700258396	0.0006046875000000001	762.4638341692897	495.28502504147787	36835.32081911263	43760.287672207196	0.23064163056930698	0.9650862884545098	8.568704420847032	1648
B12800seq	B	12800	9035	5919.875764350735	8.686070741906283	1892.9660781957666	0.000528271484375	769.4036869578041	490.85333323291377	63298.536082474224	71586.10310676257	0.27962034795240737	0.9535763601432142	9.038885336031587	2635
B25600seq	B	25600	16613	9300.397911785596	9.137812464439548	2079.530887075279	0.0004808776855468749	790.4599330592363	497.50836146468157	116118.46666666666	125803.34636797814	0.33405928339252394	0.9402922736047211	9.462157774951486	3813
B51200seq	B	51200	29960	13768.858078515244	9.530164660071566	2129.8563705409297	0.00046951522827148444	777.9051690073707	488.7813239158077	185230.721404841	205776.53972284356	0.3945848814043725	0.9245605029262148	9.822585246042786	4370
B102400seq	B	102400	53726	19589.486544316784	9.882748300504069	2166.592144880271	0.00046155433654785147	781.7321087041712	492.40533044830016	317190.75423728814	349970.99643717427	0.45313641025469503	0.90735122355254	10.14488317391243	5477
C100seq	C	100	91	87.81001327695105	4.475175540572793	83.33333333333333	0.012	77.61505257063328	71.2902776239187	516.375	575.0375729614481	0.08285714285714292	0.9920883604520081	4.925171212049656	41
C200seq	C	200	169	154.63024880911365	5.041036775547117	133.33333333333331	0.0075000000000000015	109.43513103291656	90.31364848782552	1028.6153846153848	1095.0954773869348	0.1424852071005918	0.9826753830542729	5.461025184716654	69
C400seq	C	400	312	264.26642419725476	5.576957776829292	190.9307875894988	0.0052375	126.68127104390727	92.29082231603277	1545.7241379310344	1915.7549354005168	0.2012660256410257	0.9710832434532034	5.965684162780119	112
C800seq	C	800	547	408.22146039048346	6.011809822218915	249.60998439937595	0.00400625	159.14293600388515	119.40536717114733	3788.0	3334.4657596688203	0.2893784277879341	0.9535756846829778	6.35301908331832	147
C1600seq	C	1600	1026	666.2517242537432	6.501667563474819	322.25579053373616	0.003103125	186.67224099042522	136.01066435559238	9876.622222222222	8515.116314304989	0.33611354775828456	0.937719283853892	6.821916974344291	226
C3200seq	C	3200	1908	1004.8327602508646	6.912576398935294	354.8163548163548	0.002818359375	194.31155631204427	141.6862410997122	23538.641791044774	21351.697879510146	0.38629291142557654	0.9150980072305744	7.21044600766942	308
C6400seq	C	6400	3607	1515.4262102413427	7.323452005270455	380.3863298662704	0.00262890625	197.7488521516171	142.38291599993488	49739.379310344826	48275.033981301014	0.4231730835874687	0.8941079920327066	7.6050279956921365	407
C12800seq	C	12800	6737	2142.567900627613	7.669760342211339	387.39088080353343	0.0025813720703125	200.924496068956	147.47291149951576	82517.36	97923.01000551367	0.4633578094849341	0.870021643919621	7.932687699995505	459
C25600seq	C	25600	12725	3031.499561119135	8.016812680738274	394.4287896423924	0.0025353118896484375	202.88164023815094	148.84628069086838	130030.78534031413	163841.43691545524	0.4943818332514734	0.8481935597312762	8.265067638226027	538
C51200seq	C	51200	24116	4283.142398969882	8.362442224545731	406.38536476924884	0.0024607185363769526	207.09931860165693	151.75894148778264	235254.91124780316	283452.7751335201	0.5214102508448749	0.8287007221767393	8.597611077730072	626
C102400seq	C	102400	45012	5794.118862978551	8.664598692958108	404.9979888682099	0.0024691480636596674	204.65079541834075	149.51338985037884	385645.79600333056	457866.95092251024	0.5526107851274381	0.8086278761403931	8.88397276321889	668
D100seq	D	100	82	74.60634664654955	4.312225579281996	64.93506493506493	0.015400000000000002	55.21576303742327	47.68952824435455	437.0	415.5334558426115	0.1617073170731708	0.9785542548752688	4.717213869451177	32
D200seq	D	200	157	132.32330698424488	4.885248223286573	96.6183574879227	0.010350000000000002	66.51901052377393	49.878199994398045	1116.1	1320.3950415879447	0.1996178343949045	0.9661761982411567	5.2752243495842235	57
D400seq	D	400	288	207.25800168262896	5.333964402112703	113.96011396011396	0.008775	70.8881205008336	54.79766664392698	2515.4	3360.438228514786	0.26619791666666676	0.9418951789015301	5.6926651745499415	88
