clone_id	n_seq	freq	rank
10	2	0.02	1
33	2	0.02	2
92	2	0.02	3
1	1	0.01	4
2	1	0.01	5
3	1	0.01	6
4	1	0.01	7
5	1	0.01	8
6	1	0.01	9
7	1	0.01	10
8	1	0.01	11
9	1	0.01	12
11	1	0.01	13
12	1	0.01	14
13	1	0.01	15
14	1	0.01	16
15	1	0.01	17
16	1	0.01	18
17	1	0.01	19
18	1	0.01	20
19	1	0.01	21
20	1	0.01	22
21	1	0.01	23
22	1	0.01	24
23	1	0.01	25
24	1	0.01	26
25	1	0.01	27
26	1	0.01	28
27	1	0.01	29
28	1	0.01	30
29	1	0.01	31
30	1	0.01	32
31	1	0.01	33
32	1	0.01	34
34	1	0.01	35
35	1	0.01	36
36	1	0.01	37
37	1	0.01	38
38	1	0.01	39
39	1	0.01	40
40	1	0.01	41
41	1	0.01	42
42	1	0.01	43
43	1	0.01	44
44	1	0.01	45
45	1	0.01	46
46	1	0.01	47
47	1	0.01	48
48	1	0.01	49
49	1	0.01	50
50	1	0.01	51
51	1	0.01	52
52	1	0.01	53
53	1	0.01	54
54	1	0.01	55
55	1	0.01	56
56	1	0.01	57
57	1	0.01	58
58	1	0.01	59
59	1	0.01	60
60	1	0.01	61
61	1	0.01	62
62	1	0.01	63
63	1	0.01	64
64	1	0.01	65
65	1	0.01	66
66	1	0.01	67
67	1	0.01	68
68	1	0.01	69
69	1	0.01	70
70	1	0.01	71
71	1	0.01	72
72	1	0.01	73
73	1	0.01	74
74	1	0.01	75
75	1	0.01	76
76	1	0.01	77
77	1	0.01	78
78	1	0.01	79
79	1	0.01	80
80	1	0.01	81
81	1	0.01	82
82	1	0.01	83
83	1	0.01	84
84	1	0.01	85
85	1	0.01	86
86	1	0.01	87
87	1	0.01	88
88	1	0.01	89
89	1	0.01	90
90	1	0.01	91
91	1	0.01	92
93	1	0.01	93
94	1	0.01	94
95	1	0.01	95
96	1	0.01	96
97	1	0.01	97
