clone_id	n_seq	freq	rank
551	15	0.015	1
781	12	0.012	2
721	11	0.011	3
297	7	0.007	4
533	7	0.007	5
564	6	0.006	6
539	5	0.005	7
546	5	0.005	8
788	5	0.005	9
377	4	0.004	10
704	4	0.004	11
780	4	0.004	12
70	3	0.003	13
93	3	0.003	14
205	3	0.003	15
270	3	0.003	16
502	3	0.003	17
538	3	0.003	18
777	3	0.003	19
793	3	0.003	20
801	3	0.003	21
836	3	0.003	22
837	3	0.003	23
34	2	0.002	24
44	2	0.002	25
45	2	0.002	26
46	2	0.002	27
71	2	0.002	28
108	2	0.002	29
136	2	0.002	30
152	2	0.002	31
219	2	0.002	32
224	2	0.002	33
225	2	0.002	34
234	2	0.002	35
235	2	0.002	36
244	2	0.002	37
246	2	0.002	38
256	2	0.002	39
287	2	0.002	40
288	2	0.002	41
294	2	0.002	42
300	2	0.002	43
303	2	0.002	44
308	2	0.002	45
353	2	0.002	46
357	2	0.002	47
364	2	0.002	48
383	2	0.002	49
393	2	0.002	50
433	2	0.002	51
465	2	0.002	52
492	2	0.002	53
493	2	0.002	54
497	2	0.002	55
522	2	0.002	56
528	2	0.002	57
530	2	0.002	58
535	2	0.002	59
567	2	0.002	60
585	2	0.002	61
729	2	0.002	62
734	2	0.002	63
737	2	0.002	64
741	2	0.002	65
747	2	0.002	66
754	2	0.002	67
771	2	0.002	68
792	2	0.002	69
797	2	0.002	70
811	2	0.002	71
854	2	0.002	72
1	1	0.001	73
2	1	0.001	74
3	1	0.001	75
4	1	0.001	76
5	1	0.001	77
6	1	0.001	78
7	1	0.001	79
8	1	0.001	80
9	1	0.001	81
10	1	0.001	82
11	1	0.001	83
12	1	0.001	84
13	1	0.001	85
14	1	0.001	86
15	1	0.001	87
16	1	0.001	88
17	1	0.001	89
18	1	0.001	90
19	1	0.001	91
20	1	0.001	92
21	1	0.001	93
22	1	0.001	94
23	1	0.001	95
24	1	0.001	96
25	1	0.001	97
26	1	0.001	98
27	1	0.001	99
28	1	0.001	100
29	1	0.001	101
30	1	0.001	102
31	1	0.001	103
32	1	0.001	104
33	1	0.001	105
35	1	0.001	106
36	1	0.001	107
37	1	0.001	108
38	1	0.001	109
39	1	0.001	110
40	1	0.001	111
41	1	0.001	112
42	1	0.001	113
43	1	0.001	114
47	1	0.001	115
48	1	0.001	116
49	1	0.001	117
50	1	0.001	118
51	1	0.001	119
52	1	0.001	120
53	1	0.001	121
54	1	0.001	122
55	1	0.001	123
56	1	0.001	124
57	1	0.001	125
58	1	0.001	126
59	1	0.001	127
60	1	0.001	128
61	1	0.001	129
62	1	0.001	130
63	1	0.001	131
64	1	0.001	132
65	1	0.001	133
66	1	0.001	134
67	1	0.001	135
68	1	0.001	136
69	1	0.001	137
72	1	0.001	138
73	1	0.001	139
74	1	0.001	140
75	1	0.001	141
76	1	0.001	142
77	1	0.001	143
78	1	0.001	144
79	1	0.001	145
80	1	0.001	146
81	1	0.001	147
82	1	0.001	148
83	1	0.001	149
84	1	0.001	150
85	1	0.001	151
86	1	0.001	152
87	1	0.001	153
88	1	0.001	154
89	1	0.001	155
90	1	0.001	156
91	1	0.001	157
92	1	0.001	158
94	1	0.001	159
95	1	0.001	160
96	1	0.001	161
97	1	0.001	162
98	1	0.001	163
99	1	0.001	164
100	1	0.001	165
101	1	0.001	166
102	1	0.001	167
103	1	0.001	168
104	1	0.001	169
105	1	0.001	170
106	1	0.001	171
107	1	0.001	172
109	1	0.001	173
110	1	0.001	174
111	1	0.001	175
112	1	0.001	176
113	1	0.001	177
114	1	0.001	178
115	1	0.001	179
116	1	0.001	180
117	1	0.001	181
118	1	0.001	182
119	1	0.001	183
120	1	0.001	184
121	1	0.001	185
122	1	0.001	186
123	1	0.001	187
124	1	0.001	188
125	1	0.001	189
126	1	0.001	190
127	1	0.001	191
128	1	0.001	192
129	1	0.001	193
130	1	0.001	194
131	1	0.001	195
132	1	0.001	196
133	1	0.001	197
134	1	0.001	198
135	1	0.001	199
137	1	0.001	200
138	1	0.001	201
139	1	0.001	202
140	1	0.001	203
141	1	0.001	204
142	1	0.001	205
143	1	0.001	206
144	1	0.001	207
145	1	0.001	208
146	1	0.001	209
147	1	0.001	210
148	1	0.001	211
149	1	0.001	212
150	1	0.001	213
151	1	0.001	214
153	1	0.001	215
154	1	0.001	216
155	1	0.001	217
156	1	0.001	218
157	1	0.001	219
158	1	0.001	220
159	1	0.001	221
160	1	0.001	222
161	1	0.001	223
162	1	0.001	224
163	1	0.001	225
164	1	0.001	226
165	1	0.001	227
166	1	0.001	228
167	1	0.001	229
168	1	0.001	230
169	1	0.001	231
