clone_id	n_seq	freq	cum_freq	rank
10	2	0.02	0.02	1
33	2	0.02	0.04	2
92	2	0.02	0.06	3
1	1	0.01	0.07	4
2	1	0.01	0.08	5
3	1	0.01	0.09	6
4	1	0.01	0.1	7
5	1	0.01	0.11	8
6	1	0.01	0.12	9
7	1	0.01	0.13	10
8	1	0.01	0.14	11
9	1	0.01	0.15	12
11	1	0.01	0.16	13
12	1	0.01	0.17	14
13	1	0.01	0.18	15
14	1	0.01	0.19	16
15	1	0.01	0.2	17
16	1	0.01	0.21	18
17	1	0.01	0.22	19
18	1	0.01	0.23	20
19	1	0.01	0.24	21
20	1	0.01	0.25	22
21	1	0.01	0.26	23
22	1	0.01	0.27	24
23	1	0.01	0.28	25
24	1	0.01	0.29	26
25	1	0.01	0.3	27
26	1	0.01	0.31	28
27	1	0.01	0.32	29
28	1	0.01	0.33	30
29	1	0.01	0.34	31
30	1	0.01	0.35000000000000003	32
31	1	0.01	0.36	33
32	1	0.01	0.37	34
34	1	0.01	0.38	35
35	1	0.01	0.39	36
36	1	0.01	0.4	37
37	1	0.01	0.41000000000000003	38
38	1	0.01	0.42	39
39	1	0.01	0.43	40
40	1	0.01	0.44	41
41	1	0.01	0.45	42
42	1	0.01	0.46	43
43	1	0.01	0.47000000000000003	44
44	1	0.01	0.48	45
45	1	0.01	0.49	46
46	1	0.01	0.5	47
47	1	0.01	0.51	48
48	1	0.01	0.52	49
49	1	0.01	0.53	50
50	1	0.01	0.54	51
51	1	0.01	0.55	52
52	1	0.01	0.56	53
53	1	0.01	0.5700000000000001	54
54	1	0.01	0.58	55
55	1	0.01	0.59	56
56	1	0.01	0.6	57
57	1	0.01	0.61	58
58	1	0.01	0.62	59
59	1	0.01	0.63	60
60	1	0.01	0.64	61
61	1	0.01	0.65	62
62	1	0.01	0.66	63
63	1	0.01	0.67	64
64	1	0.01	0.68	65
65	1	0.01	0.6900000000000001	66
66	1	0.01	0.7000000000000001	67
67	1	0.01	0.71	68
68	1	0.01	0.72	69
69	1	0.01	0.73	70
70	1	0.01	0.74	71
71	1	0.01	0.75	72
72	1	0.01	0.76	73
73	1	0.01	0.77	74
74	1	0.01	0.78	75
75	1	0.01	0.79	76
76	1	0.01	0.8	77
77	1	0.01	0.81	78
78	1	0.01	0.8200000000000001	79
79	1	0.01	0.8300000000000001	80
80	1	0.01	0.84	81
81	1	0.01	0.85	82
82	1	0.01	0.86	83
83	1	0.01	0.87	84
84	1	0.01	0.88	85
85	1	0.01	0.89	86
86	1	0.01	0.9	87
87	1	0.01	0.91	88
88	1	0.01	0.92	89
89	1	0.01	0.93	90
90	1	0.01	0.9400000000000001	91
91	1	0.01	0.9500000000000001	92
93	1	0.01	0.96	93
94	1	0.01	0.97	94
95	1	0.01	0.98	95
96	1	0.01	0.99	96
97	1	0.01	1	97
